,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
35,1799,30.45265007019043,-51.29919999999999,8.175184860825539,0.0,1,50
36,1849,57.275413513183594,-71.66079999999995,12.893620282411575,0.0,1,50
37,1899,18.49774932861328,-93.90719999999999,11.240495026111603,0.0,1,50
38,1949,72.48696899414062,-53.94559999999996,12.643256664276123,0.0,1,50
39,1999,37.820518493652344,-90.15679999999996,12.79773174226284,0.0,1,50
40,2049,18.038333892822266,-23.129600000000014,4.11679370701313,0.0,1,50
41,2099,49.67797088623047,-38.192,8.78699754178524,0.0,1,50
42,2149,6.4937028884887695,-114.75520000000002,12.124890223145485,0.0,1,50
43,2199,15.401500701904297,-54.44479999999997,6.9846300929784775,0.0,1,50
44,2249,-9.023547172546387,-84.87680000000003,7.58532527089119,0.0,1,50
45,2299,98.5987548828125,-28.30080000000001,12.689956247806549,0.0,1,50
46,2349,80.97535705566406,-22.643200000000007,10.361854329705238,0.0,1,50
47,2399,90.24586486816406,-32.832,12.307786673307419,0.0,1,50
48,2449,22.064697265625,-54.64959999999998,7.67142978310585,0.0,1,50
49,2499,84.91825103759766,-35.862399999999994,12.078065678477287,0.0,1,50
50,2549,79.80229949951172,-40.48639999999998,12.028870776295662,0.0,1,50
51,2599,52.43284606933594,-33.027199999999986,8.546004861593246,0.0,1,50
52,2649,19.241212844848633,-74.4832,9.372441247105598,0.0,1,50
53,2699,2.4608774185180664,-95.04000000000002,9.75008787214756,0.0,1,50
54,2749,30.59819221496582,-58.12479999999997,8.872299447655678,0.0,1,50
55,2799,6.613080978393555,-95.39519999999999,10.200828269124031,0.0,1,50
56,2849,77.72211456298828,-37.68959999999998,11.54117089509964,0.0,1,50
57,2899,79.28487396240234,-80.8736,16.01584780216217,0.0,1,50
58,2949,-35.161617279052734,-161.53279999999995,12.637118205428123,0.0,1,50
59,2999,101.21827697753906,-50.65919999999999,15.187747985124588,0.0,1,50
60,3049,80.2583999633789,-72.77759999999999,15.30359973013401,0.0,1,50
61,3099,13.562149047851562,-96.92479999999999,11.048695057630539,0.0,1,50
62,3149,-2.4866013526916504,-27.875200000000014,2.5388597548007965,0.0,1,50
63,3199,7.387765884399414,-106.048,11.343576610088348,0.0,1,50
64,3249,71.47340393066406,-22.59520000000001,9.40686148405075,0.0,1,50
65,3299,14.560199737548828,-69.65440000000002,8.421459943056107,0.0,1,50
66,3349,82.42068481445312,-26.49600000000001,10.891668975353241,0.0,1,50
67,3399,28.004009246826172,-114.1536,14.215760827064514,0.0,1,50
68,3449,15.832781791687012,-24.553600000000014,4.038638263940811,0.0,1,50
69,3499,23.89971160888672,-60.67199999999999,8.4571712911129,0.0,1,50
70,3549,8.629056930541992,-93.38560000000003,10.201465517282486,0.0,1,50
71,3599,34.36148452758789,-23.107200000000002,5.746869057416916,0.0,1,50
72,3649,51.639495849609375,-31.523200000000006,8.31626994907856,0.0,1,50
73,3699,69.84552001953125,-21.7984,9.16439238190651,0.0,1,50
74,3749,84.08378601074219,-26.064000000000004,11.014779105782509,0.0,1,50
75,3799,139.42169189453125,-9.81759999999999,14.923928782343864,0.0,1,50
76,3849,31.957660675048828,-43.48479999999998,7.544246032834053,0.0,1,50
77,3899,36.19436264038086,-70.82879999999999,10.702316597104073,0.0,1,50
78,3949,15.13846206665039,-24.195200000000018,3.9333661645650864,0.0,1,50
79,3999,7.615739345550537,-115.22240000000004,12.283813938498497,0.0,1,50
80,4049,57.10204315185547,-22.27200000000002,7.937403962016106,0.0,1,50
81,4099,85.44671630859375,-34.655999999999985,12.010271549224854,0.0,1,50
82,4149,78.09541320800781,-33.5392,11.163461610674858,0.0,1,50
