Wall time,Step,Value
1641386475.9065044,994,-173.8640594482422
1641386497.305461,996,-178.67184448242188
1641386529.84329,999,-158.76483154296875
1641386562.1122663,1002,-158.08709716796875
1641386572.9194937,1003,-159.00616455078125
1641386583.799259,1004,-165.17938232421875
1641386605.4066286,1006,-180.72877502441406
1641386659.0659204,1011,-172.5768585205078
1641386680.3842053,1013,-163.8942108154297
1641386701.7285173,1015,-153.63143920898438
1641386776.8862865,1022,-182.8675994873047
1641386819.9851482,1026,-169.24061584472656
1641386841.878456,1028,-163.04747009277344
1641386917.5259743,1035,-171.02877807617188
1641386928.3569524,1036,-182.4734344482422
1641386939.075768,1037,-170.9127197265625
1641387003.896102,1043,-174.76837158203125
1641387036.2952094,1046,-172.6077880859375
1641387143.735986,1056,-175.55755615234375
1641387165.2028582,1058,-164.95867919921875
1641387186.5733607,1060,-189.39938354492188
1641387207.7989342,1062,-173.71377563476562
1641387261.6958613,1067,-190.1771697998047
1641387283.4073124,1069,-168.1281280517578
1641387294.2001617,1070,-157.5288848876953
1641387304.9056711,1071,-181.28512573242188
1641387315.5829902,1072,-178.80020141601562
1641387326.1758811,1073,-175.22650146484375
1641387369.1439996,1077,-177.3997802734375
1641387401.4679463,1080,-162.911865234375
1641387455.1798675,1085,-183.4027099609375
1641387465.9358628,1086,-174.95855712890625
1641387476.6721609,1087,-180.109130859375
1641387519.8824565,1091,-169.62451171875
1641387595.4699597,1098,-190.58871459960938
1641387638.0977728,1102,-180.60052490234375
1641387648.7927692,1103,-167.1736297607422
1641387659.4111953,1104,-158.79461669921875
1641387691.5501273,1107,-185.69247436523438
1641387712.846293,1109,-175.25833129882812
1641387734.2359557,1111,-174.70741271972656
1641387744.9023466,1112,-182.5259552001953
1641387766.1792123,1114,-164.85525512695312
1641387840.912071,1121,-171.2890625
1641387851.5465062,1122,-174.1613006591797
1641387883.6076682,1125,-181.6621856689453
1641387894.281542,1126,-182.0451202392578
1641387915.9823425,1128,-153.74513244628906
1641387926.8836055,1129,-171.06484985351562
1641387959.3067603,1132,-176.40138244628906
1641387980.8331912,1134,-172.41188049316406
1641388035.3462896,1139,-189.0255889892578
1641388110.1301916,1146,-176.40988159179688
1641388164.1470385,1151,-177.76783752441406
1641388174.9296901,1152,-160.37057495117188
1641388282.3822248,1162,-176.77857971191406
1641388303.7208276,1164,-155.21609497070312
1641388335.9221082,1167,-171.0208740234375
1641388410.5621452,1174,-184.24374389648438
1641388432.5602005,1176,-165.25808715820312
1641388443.2892594,1177,-184.45240783691406
1641388454.107526,1178,-168.4416961669922
1641388497.3255644,1182,-168.70318603515625
1641388518.9824498,1184,-160.87631225585938
1641388573.4268117,1189,-178.355224609375
1641388616.4184296,1193,-186.33982849121094
1641388627.2150762,1194,-171.50341796875
1641388659.473949,1197,-171.4071807861328
1641388745.5139184,1205,-170.8632049560547
1641388756.3388715,1206,-182.26583862304688
1641388767.122204,1207,-161.4321746826172
1641388842.4459412,1214,-172.4236297607422
1641388885.6805031,1218,-167.9052734375
1641388939.2241614,1223,-183.11526489257812
1641388960.7974613,1225,-173.04025268554688
1641389004.199774,1229,-170.59974670410156
1641389165.5965378,1244,-160.77650451660156
1641389186.9947789,1246,-168.6247100830078
1641389219.0929291,1249,-176.9831085205078
1641389229.791539,1250,-175.57701110839844
1641389240.4564502,1251,-172.16932678222656
1641389251.1068196,1252,-177.21290588378906
1641389272.641619,1254,-164.06610107421875
1641389294.3790336,1256,-184.32568359375
1641389305.2811642,1257,-175.64834594726562
1641389337.6567783,1260,-173.06398010253906
1641389348.36634,1261,-174.3192901611328
1641389412.897745,1267,-169.83212280273438
1641389456.3231673,1271,-182.74063110351562
1641389509.887562,1276,-178.3257598876953
1641389520.5995798,1277,-161.72052001953125
1641389531.373151,1278,-164.08956909179688
1641389574.3502498,1282,-145.38206481933594
1641389606.8159914,1285,-178.13780212402344
1641389660.6256638,1290,-167.7542266845703
1641389692.8425014,1293,-163.03775024414062
1641389746.4169939,1298,-174.3651123046875
1641389757.1922653,1299,-184.9376220703125
1641389789.6212523,1302,-170.33322143554688
1641389832.3607097,1306,-177.2149658203125
1641389874.972365,1310,-171.0380859375
1641389928.2296002,1315,-176.26205444335938
1641389982.014092,1320,-148.28521728515625
1641390003.4475572,1322,-175.1134490966797
1641390035.5351434,1325,-176.86534118652344
1641390046.2533445,1326,-168.4861602783203
1641390143.26064,1335,-179.6204376220703
1641390250.7401447,1345,-175.59909057617188
1641390283.374035,1348,-160.48634338378906
1641390348.178162,1354,-175.6495819091797
1641390412.7348347,1360,-163.2036590576172
1641390455.5038052,1364,-173.90042114257812
